,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
214,False,mp-561090,SiO2,Cubic,Fd-3m,227,102,0.0208938301634,-3.25193751372549,False,2004.67644012137,1.692172896225965,5.618399999999999,True,False,NM,0.0971218,,,,,,,,,,,,,,,
215,False,mp-561181,SiO2,Orthorhombic,Amm2,38,84,0.021043170912699003,-3.25178817297619,False,1851.0694454323457,1.509195227168467,5.6043,False,False,NM,0.0002605,,,,,,,,,,,,,,,
216,True,mp-561291,SiO2,Tetragonal,P-4c2,116,24,0.151753542222223,-3.121077801666666,False,354.64354115712155,2.25065037988681,5.2477,True,False,NM,0.0018809,,,,,,,,,,,,0.162281006282312,4.332173336666667,2.05395763,2.278215706666666
217,True,mp-561301,SiO2,Cubic,Pn-3m,224,144,0.49893297548611304,-2.773898368402777,False,2022.5995757784617,2.367780445091238,1.9958,False,False,NM,0.0002308,,,,,,,,,,,,,,,
218,False,mp-561351,SiO2,Orthorhombic,Pmmn,59,72,0.017940285000001003,-3.254891058888888,False,1299.9270796171886,1.8420539885931122,5.5568,False,False,NM,0.0,,,,,,,,,,,,,,,
219,True,mp-561488,SiO2,Trigonal,R-3m,166,36,0.51276086888889,-2.760070474999999,False,685.6908165914242,1.7460754934653342,2.7733,True,False,NM,0.0,,,,,,,,,,,,,,,
220,True,mp-562490,SiO2,Monoclinic,C2/c,15,12,0.020159030555555003,-3.252672313333333,False,214.2907990029286,1.862372589825406,5.599699999999999,False,False,NM,0.0,,,,,,,,,,,,,,,
221,True,mp-572283,SiO2,Tetragonal,P4/n,85,48,0.165245518055558,-3.107585825833332,False,606.3456573083515,2.632751174216039,4.9688,False,False,NM,0.0,,,,,,,,,,,,,,,
222,True,mp-600000,SiO2,Orthorhombic,Imma,74,24,0.015924433888889002,-3.25690691,False,445.27013175670066,1.792571663140008,5.4117,True,False,NM,0.0,,,,,,,,,,,,,3.328060296666666,1.389114923333332,1.938945373333333
223,True,mp-600001,SiO2,Tetragonal,P-4m2,115,15,0.036622150222223,-3.236209193666667,False,306.59783358024345,1.6270879414514412,5.7968,False,False,NM,0.0,,,,,,,,,,,,0.026615499243861,3.004849603333333,1.159882763333333,1.84496684
224,True,mp-600002,SiO2,Tetragonal,P4_2/mmc,131,24,0.022233876388890003,-3.2505974675,False,449.91071365580996,1.774082270999887,5.4674,False,False,NM,0.0,,,,,,,,,,,,,3.329730743333332,1.387487946666666,1.9422427966666662
225,True,mp-600003,SiO2,Tetragonal,I4/mmm,139,48,0.014453704305557001,-3.2583776395833333,False,891.5764672364769,1.790488309104226,5.5474,True,False,NM,0.0,,,,,,,,,,,,,,,
226,True,mp-600004,SiO2,Orthorhombic,Cmcm,63,36,0.017297762222222002,-3.255533581666667,False,635.6400012505338,1.8835629107498901,5.4299,True,False,NM,0.0,,,,,,,,,,,,,3.614757469999999,1.601219656666665,2.013537813333333
227,True,mp-600005,SiO2,Cubic,Im-3m,229,48,0.021162028472224002,-3.251669315416666,False,965.2967263922578,1.653747700176767,5.4397,True,False,NM,0.0,,,,,,,,,,,,,,,
228,True,mp-600006,SiO2,Tetragonal,P4/mcc,124,60,0.034152458722223,-3.238678885166666,False,1009.5272322697714,1.976614882480916,5.523499999999999,False,False,NM,0.0,,,,,,,,,,,,,,,
229,True,mp-600007,SiO2,Orthorhombic,Pmma,51,36,0.020936226111112,-3.251895117777777,False,696.4354490481621,1.7191369746914211,5.680400000000001,False,False,NM,0.0,,,,,,,,,,,,,,,
230,True,mp-600014,SiO2,Orthorhombic,Pnma,62,72,0.017375832777776,-3.255455511111112,False,1321.9924554538477,1.8113082658001862,5.977,False,False,NM,0.0,,,,,,,,,,,,,,,
231,True,mp-600015,SiO2,Tetragonal,P4/nmm,129,72,0.019213315000001,-3.253618028888889,False,1418.600480430967,1.6879564718331301,5.8166,False,False,NM,0.0,,,,,,,,,,,,,,,
232,True,mp-600016,SiO2,Tetragonal,I4_1/amd,141,48,0.016476795972224,-3.256354547916666,False,969.5498613109172,1.646493187158979,5.652,False,False,NM,0.0,,,,,,,,,,,,,,,
233,True,mp-600018,SiO2,Orthorhombic,Cmme,67,72,0.017224412777778,-3.255606931111112,False,1255.4079810000228,1.9073766441898972,5.5607,True,False,NM,0.0,,,,,,,,,,,,,,,
