avg_m_o_distance,std_m_o_distance,avg_m_o_m_angle,std_m_o_m_angle,min_m_o_m_angle,max_m_o_m_angle,coordination_mean,atomic_number_mean,electronegativity_mean,oxidation_state_mean,volume_per_atom,band_gap,is_metallic
2.6049898671726153,0.0,120.0,42.42640687119285,90.0,180.0,4.0,32.0,2.01,0.0,16.553968650273056,0.0,1
2.152853120024634,0.06938777275507152,107.92394635547429,35.84964233575855,89.70045933132562,179.99864791686954,6.0,27.0,1.88,2.0,9.963061685500044,0.0,1
1.7392014391269686,1.7554167342883506e-16,154.708795978883,2.842170943040401e-14,154.70879597888293,154.708795978883,2.0,29.0,1.9,2.0,17.697728599834136,0.0,1
2.0833922500000157,5.874748045952207e-16,107.99999987925817,35.999999758516644,89.99999367796025,180.0,6.0,26.0,1.83,2.0,10.695033055196324,0.0,1
2.1476203854830205,0.1805298821008752,100.36940197194319,30.348244472634637,72.77540773298352,180.0,5.0,22.0,1.54,2.0,11.626579602436346,0.0,1
3.324071913454183,0.09807979115519544,113.60144938613365,29.45516197683744,83.17337450397358,180.0,9.333333333333334,90.0,1.3,0.0,25.75318042664943,0.0,1
2.199136321951797,0.24401678878111097,111.42857142857143,39.25146502760161,71.09572422253594,180.0,5.0,47.0,1.93,2.0,13.493733090423579,0.115999999999999,0
1.1667711762021833,8.81212206892831e-16,0.0,0.0,0.0,0.0,1.0,7.0,3.04,2.0,16.94924615948204,0.0,1
2.839872174471403,0.04181008641902401,118.36868402195263,11.733695556882713,101.96342989242898,128.73236287733135,3.0,37.0,0.82,1.0,30.94414599642502,0.30669999999999903,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,3.16,0.0,115.23844516028414,1.6924000000000001,0
1.71286417611876,1.147202048616862e-05,0.0,0.0,0.0,0.0,1.0,17.0,3.16,0.0,22.218166463938914,1.0529,0
2.4964373324213036,0.0510558383102562,120.0,36.90470592108249,93.90443218550715,172.19113562898568,3.0,62.0,1.17,0.0,21.981248591716323,0.0,1
0.9815754901241295,1.8573070857813567e-06,0.0,0.0,0.0,0.0,1.0,1.0,2.2,1.0,6.080303765708486,5.2923,0
2.652453836193972,0.014254182384628063,119.99937395637711,21.70326227015818,104.58428815599811,150.73828256206832,3.0,19.0,0.82,1.0,29.304989307810832,0.110999999999999,0
2.8033507231462247,0.11787550827300014,107.91631148272006,20.34118684490141,82.81160229381834,155.26489071293105,4.5,19.0,0.82,1.0,19.5143748531314,1.853399999999999,0
2.797038522503585,0.016901264175023006,99.58465363432146,0.43022647888501825,98.80117996868711,100.07579721301732,3.0,37.0,0.82,1.0,34.7737187286012,0.19210000000000002,0
2.44567851780584,0.07700280322804916,107.83835874539339,20.359127687345456,81.76973075575617,156.07802010053578,4.5,11.0,0.93,1.0,13.690604683992413,1.5089000000000001,0
0.9888573356516565,0.0024905660436248546,0.0,0.0,0.0,0.0,1.0,1.0,2.2,1.0,7.5480765366707665,5.4391,0
2.2730628888917854,0.006517396098911904,133.55315791441598,0.02068855143837327,133.52446638473774,133.57832205105987,1.5,40.0,1.33,0.0,19.132783508818022,0.0,1
2.1153767678058184,0.0017339654665053286,88.9816365983566,0.04039205962725172,88.933555945536,89.03255189836273,2.0,22.0,1.54,0.0,13.546457149440442,0.0,1
2.2851176589298676,0.019389055574395197,108.19153563197574,24.68735689390693,71.80426978906358,134.31869377532325,3.0,40.0,1.33,0.0,16.024881272663272,0.0,1
1.240957801160305,2.3551386880256627e-15,127.6635489645145,0.0,127.6635489645145,127.6635489645145,1.0,7.0,3.04,2.0,17.437547206626128,0.1824,0
2.1281577750468093,0.0,120.0,42.98239971289188,81.56021163664563,180.0,4.0,47.0,1.93,2.0,14.407143632799935,0.0,1
2.163616522673394,3.510833468576701e-16,120.0,43.021557130481064,81.26606807349239,180.0,4.0,47.0,1.93,2.0,15.11543311971984,0.0,1
2.0557931217386853,8.59994397812055e-05,119.99274803029721,42.929376375567834,81.89261284489022,179.97856862970596,4.0,24.0,1.66,2.0,12.547212295807828,0.0,1
1.9999423653412982,0.04510696508424155,108.57322035029077,13.306333553105206,90.71011700957196,135.3187356528828,4.0,12.0,1.3100000000000003,2.0,15.624110518094072,3.304,0
2.0483005241517525,0.003707966872521178,119.96024735699757,42.767540178582315,81.91558050178863,179.89882524426736,4.0,24.0,1.66,2.0,12.592987135950127,1.5811000000000002,0
2.1773594266847502,0.0870612898637722,107.99994172609239,36.03651634728722,87.45102520449183,179.99988175003836,6.0,26.0,1.83,2.0,10.728579888664859,1.7989000000000002,0
2.121185736397172,0.039752540109293286,107.61461215202081,35.31861657025884,85.47977663385215,179.79639939117675,6.0,26.0,1.83,2.0,9.78734218604906,0.0,1
1.6247498756317578,0.011504983284342574,0.0,0.0,0.0,0.0,0.6666666666666666,14.0,1.8999999999999995,0.6666666666666666,19.54464278884417,0.1592,0
1.6301809501493998,0.01579005111582904,0.0,0.0,0.0,0.0,0.6666666666666666,14.0,1.8999999999999995,0.6666666666666666,19.405135828562397,0.1885,0
